Model,MAE,RMSE,R2
Gradient Boosting (tuned),181.86895930395679,233.7168971925233,0.8673338149033587
Stacking tuned (meta_gb_md2),195.8918590190354,247.93286529115335,0.8517228161812789
Random Forest,196.75724398042397,252.3764098321918,0.8444290648161671
Linear Regression,202.6452006132667,255.86118570889167,0.83809175511619
