Model,MAE,RMSE,R2
Gradient Boosting (tuned),165.1146981397055,216.3285363924996,0.8860765850932908
Stacking tuned (meta_gb_md2),170.1412467106018,222.3452465195106,0.8807829287861616
Random Forest,175.07141060857688,226.25622861351314,0.8757844672476839
Linear Regression,178.15161500805823,225.6994462247965,0.8723706455553966
